[2023-08-17 17:06:02,236] Register - Step 01: Navigate to 'Register' page
[2023-08-18 08:54:32,117] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-08-18 08:54:32,217] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-08-18 08:54:32,328] Register - Step 07: Click to 'Register' button
[2023-08-18 08:54:33,103] Register - Step 08: Verify success register message is displayed
[2023-08-18 08:54:33,263]  -------------------------- PASSED -------------------------- 
[2023-08-18 08:54:33,263] Register - Step 10: Click to Logout link
[2023-08-18 08:54:33,362] Login - Step 01: Navigate to Login Page
[2023-08-18 08:54:33,766] Login - Step 02: Enter to Email textbox with value is 'Automation'
[2023-08-18 08:54:33,886] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-08-18 08:54:33,982] Login - Step 04: Click to 'Login' button
[2023-08-18 08:54:34,802] Login - Step 05: Verify 'My account' link is displayed
[2023-08-18 08:54:34,909]  -------------------------- PASSED -------------------------- 
[2023-08-18 08:54:34,909] Login - Step 06: Navigate to 'Customer infor' page
[2023-08-18 08:54:35,329] Login - Step 07: Verify 'Customer infor' page is displayed
[2023-08-18 08:54:35,418]  -------------------------- PASSED -------------------------- 
[2023-08-18 08:55:11,329] Register - Step 01: Navigate to 'Register' page
[2023-08-18 08:55:12,412] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-08-18 08:55:12,543] Register - Step 03: Enter to Lastname textbox with value is 'Testing'
[2023-08-18 08:55:12,648] Register - Step 04: Enter to Email textbox with value is 'abc4302@gmail.com'
[2023-08-18 08:55:12,768] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-08-18 08:55:12,857] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-08-18 08:55:12,961] Register - Step 07: Click to 'Register' button
[2023-08-18 08:55:13,746] Register - Step 08: Verify success register message is displayed
[2023-08-18 08:55:13,813]  -------------------------- PASSED -------------------------- 
[2023-08-18 08:55:13,813] Register - Step 10: Click to Logout link
[2023-08-18 08:55:13,879] Login - Step 01: Navigate to Login Page
[2023-08-18 08:55:14,315] Login - Step 02: Enter to Email textbox with value is 'Automation'
[2023-08-18 08:55:14,424] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-08-18 08:55:14,529] Login - Step 04: Click to 'Login' button
[2023-08-18 08:55:15,730] Login - Step 05: Verify 'My account' link is displayed
[2023-08-18 08:55:15,831]  -------------------------- PASSED -------------------------- 
[2023-08-18 08:55:15,832] Login - Step 06: Navigate to 'Customer infor' page
[2023-08-18 08:55:16,246] Login - Step 07: Verify 'Customer infor' page is displayed
[2023-08-18 08:55:16,331]  -------------------------- PASSED -------------------------- 
[2023-08-18 13:59:58,176] Register - Step 01: Navigate to 'Register' page
[2023-08-18 13:59:59,269] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-08-18 13:59:59,385] Register - Step 03: Enter to Lastname textbox with value is 'Testing'
[2023-08-18 13:59:59,482] Register - Step 04: Enter to Email textbox with value is 'abc3126@gmail.com'
[2023-08-18 13:59:59,604] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-08-18 13:59:59,703] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-08-18 13:59:59,793] Register - Step 07: Click to 'Register' button
[2023-08-18 14:00:00,541] Register - Step 08: Verify success register message is displayed
[2023-08-18 14:00:00,617] Login - Step 01: Navigate to Login Page
[2023-08-18 14:00:01,060] Login - Step 02: Enter to Email textbox with value is 'Automation'
[2023-08-18 14:00:01,184] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-08-18 14:00:01,284] Login - Step 04: Click to 'Login' button
[2023-08-18 14:00:02,516] Login - Step 05: Verify 'My account' link is displayed
[2023-08-18 14:00:02,617]  -------------------------- FAILED -------------------------- 
[2023-08-18 14:00:02,617] Login - Step 06: Navigate to 'Customer infor' page
[2023-08-18 14:00:07,556] Login - Step 07: Verify 'Customer infor' page is displayed
[2023-08-18 14:00:07,650]  -------------------------- PASSED -------------------------- 
[2023-08-18 14:37:21,334] Register - Step 01: Navigate to 'Register' page
[2023-08-18 14:37:22,505] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-08-18 14:37:22,620] Register - Step 03: Enter to Lastname textbox with value is 'Testing'
[2023-08-18 14:37:22,721] Register - Step 04: Enter to Email textbox with value is 'abc983@gmail.com'
[2023-08-18 14:37:22,822] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-08-18 14:37:22,909] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-08-18 14:37:23,004] Register - Step 07: Click to 'Register' button
[2023-08-18 14:37:24,257] Register - Step 08: Verify success register message is displayed
[2023-08-18 14:37:24,336] Login - Step 01: Navigate to Login Page
[2023-08-18 14:37:24,787] Login - Step 02: Enter to Email textbox with value is 'Automation'
[2023-08-18 14:37:24,901] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-08-18 14:37:25,001] Login - Step 04: Click to 'Login' button
[2023-08-18 14:37:25,689] Login - Step 05: Verify 'My account' link is displayed
[2023-08-18 14:37:25,823]  -------------------------- FAILED -------------------------- 
[2023-08-18 14:37:25,823] Login - Step 06: Navigate to 'Customer infor' page
[2023-08-18 14:37:26,234] Login - Step 07: Verify 'Customer infor' page is displayed
[2023-08-18 14:37:26,305]  -------------------------- PASSED -------------------------- 
[2023-08-18 14:54:20,626] Register - Step 01: Navigate to 'Register' page
[2023-08-18 14:54:21,181] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-08-18 14:54:21,301] Register - Step 03: Enter to Lastname textbox with value is 'Testing'
[2023-08-18 14:54:21,393] Register - Step 04: Enter to Email textbox with value is 'abc131@gmail.com'
[2023-08-18 14:54:21,481] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-08-18 14:54:21,568] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-08-18 14:54:21,659] Register - Step 07: Click to 'Register' button
[2023-08-18 14:54:22,936] Register - Step 08: Verify success register message is displayed
[2023-08-18 14:54:23,106] Login - Step 01: Navigate to Login Page
[2023-08-18 14:54:23,683] Login - Step 02: Enter to Email textbox with value is 'Automation'
[2023-08-18 14:54:23,818] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-08-18 14:54:23,918] Login - Step 04: Click to 'Login' button
[2023-08-18 14:54:24,649] Login - Step 05: Verify 'My account' link is displayed
[2023-08-18 14:58:49,446] Register - Step 01: Navigate to 'Register' page
[2023-08-18 14:58:50,510] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-08-18 14:58:50,624] Register - Step 03: Enter to Lastname textbox with value is 'Testing'
[2023-08-18 14:58:50,723] Register - Step 04: Enter to Email textbox with value is 'abc1955@gmail.com'
[2023-08-18 14:58:50,827] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-08-18 14:58:50,918] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-08-18 14:58:51,006] Register - Step 07: Click to 'Register' button
[2023-08-18 14:58:52,086] Register - Step 08: Verify success register message is displayed
[2023-08-18 14:58:52,258] Login - Step 01: Navigate to Login Page
[2023-08-18 14:58:52,782] Login - Step 02: Enter to Email textbox with value is 'Automation'
[2023-08-18 14:58:52,893] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-08-18 14:58:52,992] Login - Step 04: Click to 'Login' button
[2023-08-18 14:58:54,793] Login - Step 05: Verify 'My account' link is displayed
[2023-08-18 15:12:38,371] Register - Step 01: Navigate to 'Register' page
[2023-08-18 15:12:39,468] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-08-18 15:12:39,591] Register - Step 03: Enter to Lastname textbox with value is 'Testing'
[2023-08-18 15:12:39,705] Register - Step 04: Enter to Email textbox with value is 'abc2222@gmail.com'
[2023-08-18 15:12:39,794] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-08-18 15:12:39,887] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-08-18 15:12:39,989] Register - Step 07: Click to 'Register' button
[2023-08-18 15:12:40,733] Register - Step 08: Verify success register message is displayed
[2023-08-18 15:12:40,887] Login - Step 01: Navigate to Login Page
[2023-08-18 15:12:41,309] Login - Step 02: Enter to Email textbox with value is 'Automation'
[2023-08-18 15:12:41,409] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-08-18 15:12:41,509] Login - Step 04: Click to 'Login' button
[2023-08-18 15:12:42,710] Login - Step 05: Verify 'My account' link is displayed
[2023-08-18 15:15:03,456] Register - Step 01: Navigate to 'Register' page
[2023-08-18 15:15:04,718] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-08-18 15:15:04,830] Register - Step 03: Enter to Lastname textbox with value is 'Testing'
[2023-08-18 15:15:04,925] Register - Step 04: Enter to Email textbox with value is 'abc1004@gmail.com'
[2023-08-18 15:15:05,013] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-08-18 15:15:05,104] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-08-18 15:15:05,180] Register - Step 07: Click to 'Register' button
[2023-08-18 15:15:05,937] Register - Step 08: Verify success register message is displayed
[2023-08-18 15:15:06,104] Login - Step 01: Navigate to Login Page
[2023-08-18 15:15:07,034] Login - Step 02: Enter to Email textbox with value is 'Automation'
[2023-08-18 15:15:07,140] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-08-18 15:15:07,235] Login - Step 04: Click to 'Login' button
[2023-08-18 15:15:07,958] Login - Step 05: Verify 'My account' link is displayed
[2023-08-18 15:47:59,579] Register - Step 01: Navigate to 'Register' page
[2023-08-18 15:48:00,638] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-08-18 15:48:00,757] Register - Step 03: Enter to Lastname textbox with value is 'Testing'
[2023-08-18 15:48:00,852] Register - Step 04: Enter to Email textbox with value is 'abc5876@gmail.com'
[2023-08-18 15:48:00,959] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-08-18 15:48:01,044] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-08-18 15:48:01,143] Register - Step 07: Click to 'Register' button
[2023-08-18 15:48:01,863] Register - Step 08: Verify success register message is displayed
[2023-08-18 15:48:02,021] Login - Step 01: Navigate to Login Page
[2023-08-18 15:48:02,421] Login - Step 02: Enter to Email textbox with value is 'Automation'
[2023-08-18 15:48:02,546] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-08-18 15:48:02,642] Login - Step 04: Click to 'Login' button
[2023-08-18 15:48:03,822] Login - Step 05: Verify 'My account' link is displayed
[2023-08-18 15:50:20,205] Register - Step 01: Navigate to 'Register' page
[2023-08-18 15:50:21,253] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-08-18 15:50:21,384] Register - Step 03: Enter to Lastname textbox with value is 'Testing'
[2023-08-18 15:50:21,471] Register - Step 04: Enter to Email textbox with value is 'abc6404@gmail.com'
[2023-08-18 15:50:21,585] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-08-18 15:50:21,681] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-08-18 15:50:21,793] Register - Step 07: Click to 'Register' button
[2023-08-18 15:50:22,540] Register - Step 08: Verify success register message is displayed
[2023-08-18 15:50:22,670] Login - Step 01: Navigate to Login Page
[2023-08-18 15:50:23,057] Login - Step 02: Enter to Email textbox with value is 'Automation'
[2023-08-18 15:50:23,202] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-08-18 15:50:23,291] Login - Step 04: Click to 'Login' button
[2023-08-18 15:50:24,457] Login - Step 05: Verify 'My account' link is displayed
[2023-08-23 10:50:49,301] OS name = windows 10
[2023-08-23 10:50:49,302] Driver instance name = firefoxdriver: firefox on windows (3eee0df1-e93a-4856-904c-45a36a296024)
[2023-08-23 10:50:49,319] Tried to run command without establishing a connection
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'DESKTOP-JPVH95S', ip: '192.168.100.102', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.17'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 116.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:buildID: 20230805021307, moz:geckodriverVersion: 0.33.0, moz:headless: false, moz:platformVersion: 10.0, moz:processID: 12652, moz:profile: C:\Users\BINHGO~1\AppData\L..., moz:shutdownTimeout: 60000, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 3eee0df1-e93a-4856-904c-45a36a296024
[2023-08-23 10:53:11,688] OS name = windows 10
[2023-08-23 10:53:11,689] Driver instance name = firefoxdriver: firefox on windows (a6d9f5e6-0aa2-4a5f-987d-493ec325e89e)
[2023-08-23 11:00:12,514] OS name = windows 10
[2023-08-23 11:00:12,515] Driver instance name = firefoxdriver: firefox on windows (51ff3288-a655-4766-a360-d94a5df5daf3)
[2023-08-23 11:03:52,166] OS name = windows 10
[2023-08-23 11:03:52,167] Driver instance name = firefoxdriver: firefox on windows (671aecbc-1387-4d69-82ae-0cc52cd7009f)
[2023-08-23 11:05:08,073] OS name = windows 10
[2023-08-23 11:05:08,074] Driver instance name = firefoxdriver: firefox on windows (6aa5c391-de8a-412f-b4bc-defb6f0894f2)
[2023-08-23 14:06:08,354] OS name = windows 10
[2023-08-23 14:06:08,354] Driver instance name = firefoxdriver: firefox on windows (87472fc2-da37-4088-a0b3-02a0413af9e2)
[2023-08-23 14:06:08,377] Failed to decode response from marionette
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'DESKTOP-JPVH95S', ip: '192.168.100.102', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.17'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 116.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:buildID: 20230805021307, moz:geckodriverVersion: 0.33.0, moz:headless: false, moz:platformVersion: 10.0, moz:processID: 3096, moz:profile: C:\Users\BINHGO~1\AppData\L..., moz:shutdownTimeout: 60000, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 87472fc2-da37-4088-a0b3-02a0413af9e2
[2023-08-23 14:06:57,873] OS name = windows 10
[2023-08-23 14:06:57,874] Driver instance name = firefoxdriver: firefox on windows (9461bd0f-6fb0-4259-83c2-963be77cd5cb)
[2023-08-23 14:06:57,899] Failed to decode response from marionette
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'DESKTOP-JPVH95S', ip: '192.168.100.102', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.17'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 116.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:buildID: 20230805021307, moz:geckodriverVersion: 0.33.0, moz:headless: false, moz:platformVersion: 10.0, moz:processID: 23148, moz:profile: C:\Users\BINHGO~1\AppData\L..., moz:shutdownTimeout: 60000, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 9461bd0f-6fb0-4259-83c2-963be77cd5cb
[2023-08-23 14:08:58,503] OS name = windows 10
[2023-08-23 14:08:58,504] Driver instance name = firefoxdriver: firefox on windows (13ec6af5-a646-4c64-ac7c-49b6075c334f)
[2023-08-23 14:08:58,617] Failed to decode response from marionette
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'DESKTOP-JPVH95S', ip: '192.168.100.102', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.17'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 116.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:buildID: 20230805021307, moz:geckodriverVersion: 0.33.0, moz:headless: false, moz:platformVersion: 10.0, moz:processID: 5152, moz:profile: C:\Users\BINHGO~1\AppData\L..., moz:shutdownTimeout: 60000, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 13ec6af5-a646-4c64-ac7c-49b6075c334f
[2023-08-23 14:10:52,109] OS name = windows 10
[2023-08-23 14:10:52,110] Driver instance name = firefoxdriver: firefox on windows (46b148a8-b646-4ca6-8eb3-b21ca3c53f27)
[2023-08-23 14:10:52,244] Failed to decode response from marionette
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'DESKTOP-JPVH95S', ip: '192.168.100.102', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.17'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 116.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:buildID: 20230805021307, moz:geckodriverVersion: 0.33.0, moz:headless: false, moz:platformVersion: 10.0, moz:processID: 1016, moz:profile: C:\Users\BINHGO~1\AppData\L..., moz:shutdownTimeout: 60000, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 46b148a8-b646-4ca6-8eb3-b21ca3c53f27
[2023-08-23 14:11:54,864] OS name = windows 10
[2023-08-23 14:11:54,867] Driver instance name = firefoxdriver: firefox on windows (9889934e-8a7f-4af3-a65b-2eabf8330b59)
[2023-08-23 14:12:30,891] OS name = windows 10
[2023-08-23 14:12:30,892] Driver instance name = firefoxdriver: firefox on windows (70c8fc9f-ba4c-40d1-9f99-21ca50ae92cb)
[2023-08-23 14:36:10,756] OS name = windows 10
[2023-08-23 14:36:10,757] Driver instance name = firefoxdriver: firefox on windows (2e698e8c-150e-4a54-a835-08c2bd301bd9)
[2023-08-23 14:36:10,804] Failed to decode response from marionette
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'DESKTOP-JPVH95S', ip: '192.168.100.102', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.17'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 116.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:buildID: 20230805021307, moz:geckodriverVersion: 0.33.0, moz:headless: false, moz:platformVersion: 10.0, moz:processID: 13608, moz:profile: C:\Users\BINHGO~1\AppData\L..., moz:shutdownTimeout: 60000, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 2e698e8c-150e-4a54-a835-08c2bd301bd9
[2023-08-23 14:36:50,065] OS name = windows 10
[2023-08-23 14:36:50,067] Driver instance name = firefoxdriver: firefox on windows (71d54ddb-173d-43e9-9da8-5871e1dfd378)
[2023-08-23 14:52:34,986] OS name = windows 10
[2023-08-23 14:52:34,987] Driver instance name = firefoxdriver: firefox on windows (1329d8f6-c21f-4032-aff9-d91db3aa423c)
[2023-08-23 15:05:06,645] OS name = windows 10
[2023-08-23 15:05:06,646] Driver instance name = firefoxdriver: firefox on windows (7fefa078-368c-465a-8972-ecfed92bfd17)
[2023-08-23 15:05:48,296] OS name = windows 10
[2023-08-23 15:05:48,298] Driver instance name = firefoxdriver: firefox on windows (00fd1121-5618-4c55-a6a5-27106ce079a1)
[2023-08-23 15:31:26,223] OS name = windows 10
[2023-08-23 15:31:26,223] Driver instance name = firefoxdriver: firefox on windows (a55ef5ac-e7ab-4dd4-99a3-39f7c8aed3c3)
